Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
22/09/2021;4415;4465,5;4406;4449,7;53,66;43742;49,94;4425,87;4133,83;4444,05;5,65
23/09/2021;4440,1;4463,9;4421,1;4456,6;55,74;46288;50,93;4427,08;4137,05;4444,89;11,71
26/09/2021;4475,5;4477;4436,4;4443,9;56,24;44126;49,01;4427,74;4140,1;4444,83;-0,93
27/09/2021;4430,6;4431,6;4345,7;4355,7;61,17;80816;38,24;4424,91;4142,24;4436,03;-80,33
28/09/2021;4377,3;4388,9;4354,3;4359,3;60,54;60066;38,83;4422,34;4144,4;4430,78;-71,48
29/09/2021;4393,9;4397,9;4307,2;4307,2;62,66;71656;33,79;4417,82;4146,02;4421,46;-114,26
30/09/2021;4278,1;4376,2;4270,9;4353,2;66,69;77714;41,07;4415,29;4148,08;4353,2;0
03/10/2021;4335;4354,4;4278,5;4302;68,26;87636;36,29;4410,85;4149,62;4326,06;-24,06
04/10/2021;4301,4;4369,2;4297,4;4342,5;69,78;52008;42,03;4408,17;4151,54;4330;12,5
05/10/2021;4325,6;4366;4283,4;4364;72,59;85870;44,87;4406,43;4153,65;4339,63;24,37
06/10/2021;4388,3;4430,9;4381,8;4398,3;73,46;39828;49,16;4406,12;4156,08;4346,44;51,86
07/10/2021;4402,9;4416,4;4386,1;4391,1;66,54;54284;48,31;4405,53;4158,42;4352,54;38,56
10/10/2021;4378,5;4416,8;4360,1;4360,1;66,36;53652;44,73;4403,75;4160,43;4353,44;6,66
11/10/2021;4330,5;4374,4;4327,7;4350,2;65,21;65198;43,62;4401,65;4162,32;4353,03;-2,83
12/10/2021;4343,5;4374,6;4328,8;4365,1;63,49;60164;45,8;4400,21;4164,34;4354,29;10,81
13/10/2021;4390,4;4439,8;4382,9;4438,5;65,77;31570;55,03;4401,71;4167,06;4358,66;79,84
14/10/2021;4452,4;4476,4;4445,2;4471,9;65,58;30448;58,5;4404,47;4170,1;4364,06;107,84
17/10/2021;4460;4489,2;4445,3;4487,4;61,7;33414;60,04;4407,72;4173,25;4370,2;117,2
18/10/2021;4496,3;4520,7;4491,1;4520,2;61,61;24628;63,15;4412,13;4176,71;4375,5;144,7
19/10/2021;4514,6;4541,2;4513,3;4536,6;57,12;24504;64,64;4417,01;4180,29;4380,98;155,62
20/10/2021;4521,3;4551,9;4519,3;4551,7;51,93;24162;65,99;4422,29;4183,98;4386,52;165,18
21/10/2021;4544,3;4560,2;4524,2;4544,7;49,08;39616;64,75;4427,09;4187,57;4394,5;150,2
24/10/2021;4551,3;4572,1;4537,2;4566,7;46,44;27466;66,86;4432,57;4191,34;4400,32;166,38
25/10/2021;4580,1;4598,5;4569,2;4572,7;42,81;34336;67,44;4438,06;4195,14;4407,32;165,38
26/10/2021;4578,6;4584,6;4552,1;4553,3;40,36;43428;63,61;4442,58;4198,7;4414,44;138,86
27/10/2021;4553,7;4596,9;4553,5;4596,7;41,31;36410;67,99;4448,63;4202,66;4421,6;175,1
28/10/2021;4574,2;4608,2;4567,2;4603,7;40,19;39958;68,64;4454,71;4206,65;4429,13;174,57
31/10/2021;4611,3;4626,6;4594,2;4614,6;39,16;26432;69,68;4460,98;4210,71;4614,6;0
01/11/2021;4610,5;4635,2;4606,5;4631,9;37,94;22700;71,31;4467,68;4214,9;4622,59;9,31
02/11/2021;4626,3;4664,5;4621,4;4660,7;35,69;25810;73,83;4475,25;4219,34;4635,72;24,98
